Job_ID,Role,Company,Location,Experience_Level,Employment_Type,Salary_USD,Skills,Remote_Status,Posted_Date,Job_Description
11,ML Ops Engineer,Amazon,Remote,Mid,Part-time,116634,"GCP, Hadoop, Pandas, PowerBI, Deep Learning, Tableau",Hybrid,5/6/2025,"We are looking for a ML Ops Engineer with strong experience in Pandas, Deep Learning, GCP. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
12,Computer Vision Engineer,SAP,"Delhi, IN",Expert,Full-time,18275,"Excel, AWS, Python, SQL",Remote,5/9/2025,"Seeking a passionate Computer Vision Engineer with hands-on experience in SQL, Excel, AWS. Excellent opportunity to grow in a dynamic environment."
13,ML Engineer,TCS,"New York, US",Entry,Contract,56847,"Hadoop, PyTorch, Kubernetes, AWS",Remote,5/29/2025,"As a ML Engineer, you will be responsible for building scalable solutions using PyTorch, Hadoop, AWS. We value creativity and a willingness to learn."
14,BI Analyst,OpenAI,"New York, US",Entry,Internship,53879,"R, Deep Learning, Tableau",Onsite,7/15/2025,"Seeking a passionate BI Analyst with hands-on experience in Deep Learning, Tableau, R. Excellent opportunity to grow in a dynamic environment."
15,Data Analyst,OpenAI,"London, UK",Expert,Part-time,212742,"Docker, Hadoop, TensorFlow",Onsite,7/22/2025,"Join our team as a Data Analyst, where you'll use your skills in Docker, TensorFlow, Hadoop to solve real-world problems. Experience in Docker, TensorFlow, Hadoop is a plus."
16,ML Engineer,Amazon,Remote,Mid,Part-time,111700,"Scikit-learn, Deep Learning, Python",Onsite,6/9/2025,"The ML Engineer will drive innovation and support our data-driven strategies. Required skills include: Scikit-learn, Python, Deep Learning."
17,NLP Engineer,SAP,"Berlin, DE",Expert,Internship,187665,"Tableau, R, Excel",Remote,5/15/2025,"Join our team as a NLP Engineer, where you'll use your skills in R, Tableau, Excel to solve real-world problems. Experience in R, Tableau, Excel is a plus."
18,ML Ops Engineer,Adobe,"Delhi, IN",Mid,Full-time,8217,"AWS, Deep Learning, TensorFlow",Hybrid,5/17/2025,"Join our team as a ML Ops Engineer, where you'll use your skills in AWS, Deep Learning, TensorFlow to solve real-world problems. Experience in AWS, Deep Learning, TensorFlow is a plus."
19,Data Analyst,Hugging Face,"Singapore, SG",Entry,Full-time,61540,"Azure, GCP, Tableau, AWS, Pandas",Onsite,6/8/2025,"Join our team as a Data Analyst, where you'll use your skills in AWS, Azure, Pandas to solve real-world problems. Experience in AWS, Azure, Pandas is a plus."
20,AI Research Scientist,Wipro,"Mumbai, IN",Senior,Full-time,15689,"Hadoop, GCP, Spark",Remote,6/25/2025,"Join our team as a AI Research Scientist, where you'll use your skills in Hadoop, Spark, GCP to solve real-world problems. Experience in Hadoop, Spark, GCP is a plus."
21,AI Research Scientist,Zoho,"New York, US",Mid,Contract,98716,"Pandas, Spark, Python, PowerBI, TensorFlow",Onsite,7/11/2025,"The AI Research Scientist will drive innovation and support our data-driven strategies. Required skills include: PowerBI, Python, TensorFlow."
22,NLP Engineer,Meta,"New York, US",Mid,Contract,83803,"Azure, Spark, Kubernetes, Pandas",Onsite,7/22/2025,"The NLP Engineer will drive innovation and support our data-driven strategies. Required skills include: Azure, Kubernetes, Spark."
23,Data Scientist,IBM,"Berlin, DE",Entry,Full-time,65268,"Docker, Hadoop, Computer Vision, Python",Onsite,7/14/2025,"Seeking a passionate Data Scientist with hands-on experience in Docker, Hadoop, Computer Vision. Excellent opportunity to grow in a dynamic environment."
24,Data Scientist,Apple,"Delhi, IN",Entry,Contract,5810,"PowerBI, NLP, R",Hybrid,6/13/2025,"We are looking for a Data Scientist with strong experience in NLP, R, PowerBI. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
25,Data Analyst,TCS,"Sydney, AU",Entry,Contract,68971,"Scikit-learn, Pandas, Computer Vision, Python",Hybrid,7/6/2025,"We are looking for a Data Analyst with strong experience in Scikit-learn, Python, Pandas. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
26,Computer Vision Engineer,IBM,Remote,Mid,Contract,127553,"Kubernetes, AWS, GCP",Remote,5/31/2025,"As a Computer Vision Engineer, you will be responsible for building scalable solutions using AWS, GCP, Kubernetes. We value creativity and a willingness to learn."
27,Computer Vision Engineer,Wipro,Remote,Mid,Part-time,90921,"SQL, Azure, NLP, Spark, Deep Learning",Remote,5/3/2025,"Join our team as a Computer Vision Engineer, where you'll use your skills in SQL, Deep Learning, Spark to solve real-world problems. Experience in SQL, Deep Learning, Spark is a plus."
28,Computer Vision Engineer,Google,"New York, US",Senior,Part-time,127104,"NLP, Tableau, Computer Vision, Spark, TensorFlow, GCP",Hybrid,5/16/2025,"We are looking for a Computer Vision Engineer with strong experience in TensorFlow, Tableau, GCP. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
29,Data Analyst,Infosys,"California, US",Expert,Full-time,205825,"Computer Vision, SQL, Tableau, Hadoop, TensorFlow",Hybrid,6/20/2025,"The Data Analyst will drive innovation and support our data-driven strategies. Required skills include: TensorFlow, Tableau, Hadoop."
30,NLP Engineer,IBM,"Toronto, CA",Expert,Contract,229695,"Pandas, Excel, PowerBI, Deep Learning",Hybrid,5/19/2025,"As a NLP Engineer, you will be responsible for building scalable solutions using Deep Learning, Pandas, PowerBI. We value creativity and a willingness to learn."
31,ML Engineer,Wipro,"Berlin, DE",Mid,Internship,112906,"Docker, GCP, Spark, Kubernetes, Scikit-learn, Tableau",Hybrid,7/18/2025,"Seeking a passionate ML Engineer with hands-on experience in Kubernetes, Docker, Scikit-learn. Excellent opportunity to grow in a dynamic environment."
32,NLP Engineer,Adobe,"Sydney, AU",Senior,Full-time,134722,"Python, R, AWS, Kubernetes",Remote,5/11/2025,"Join our team as a NLP Engineer, where you'll use your skills in R, Python, Kubernetes to solve real-world problems. Experience in R, Python, Kubernetes is a plus."
33,Data Scientist,SAP,"Bengaluru, IN",Mid,Internship,8598,"Computer Vision, AWS, Scikit-learn",Onsite,4/30/2025,"Join our team as a Data Scientist, where you'll use your skills in Scikit-learn, AWS, Computer Vision to solve real-world problems. Experience in Scikit-learn, AWS, Computer Vision is a plus."
34,ML Ops Engineer,Microsoft,"Delhi, IN",Mid,Full-time,10045,"Docker, Spark, Computer Vision, Pandas, Scikit-learn",Onsite,5/29/2025,"As a ML Ops Engineer, you will be responsible for building scalable solutions using Docker, Scikit-learn, Pandas. We value creativity and a willingness to learn."
35,ML Ops Engineer,Infosys,Remote,Mid,Contract,122181,"SQL, PowerBI, AWS, Azure, Tableau, Scikit-learn",Hybrid,5/20/2025,"Seeking a passionate ML Ops Engineer with hands-on experience in Scikit-learn, AWS, SQL. Excellent opportunity to grow in a dynamic environment."
36,Data Scientist,Apple,"Texas, US",Mid,Internship,116295,"Computer Vision, Tableau, Hadoop, Docker, Pandas, Python",Hybrid,7/2/2025,"As a Data Scientist, you will be responsible for building scalable solutions using Tableau, Hadoop, Python. We value creativity and a willingness to learn."
37,BI Analyst,Salesforce,Remote,Entry,Internship,44212,"Hadoop, Pandas, AWS, Kubernetes, Excel, PyTorch",Onsite,6/3/2025,"The BI Analyst will drive innovation and support our data-driven strategies. Required skills include: Pandas, PyTorch, Kubernetes."
38,ML Ops Engineer,Google,"Bengaluru, IN",Senior,Internship,12836,"Deep Learning, Excel, Python",Hybrid,7/18/2025,"The ML Ops Engineer will drive innovation and support our data-driven strategies. Required skills include: Excel, Deep Learning, Python."
39,BI Analyst,Apple,"Mumbai, IN",Mid,Full-time,9145,"Tableau, Deep Learning, Azure, Computer Vision, Hadoop",Onsite,7/18/2025,"Join our team as a BI Analyst, where you'll use your skills in Computer Vision, Tableau, Hadoop to solve real-world problems. Experience in Computer Vision, Tableau, Hadoop is a plus."
40,ML Ops Engineer,Google,"Tokyo, JP",Entry,Contract,61303,"AWS, GCP, Python",Remote,5/10/2025,"Join our team as a ML Ops Engineer, where you'll use your skills in Python, AWS, GCP to solve real-world problems. Experience in Python, AWS, GCP is a plus."
41,AI Research Scientist,TCS,"Texas, US",Expert,Full-time,213586,"Scikit-learn, TensorFlow, Pandas, PowerBI, Excel",Hybrid,5/15/2025,"The AI Research Scientist will drive innovation and support our data-driven strategies. Required skills include: Excel, Scikit-learn, Pandas."
42,ML Engineer,Wipro,"Singapore, SG",Expert,Internship,211830,"PowerBI, TensorFlow, R",Hybrid,6/14/2025,"Join our team as a ML Engineer, where you'll use your skills in PowerBI, TensorFlow, R to solve real-world problems. Experience in PowerBI, TensorFlow, R is a plus."
43,BI Analyst,Zoho,"New York, US",Senior,Full-time,126916,"Docker, PyTorch, Computer Vision, Scikit-learn, Azure",Onsite,5/11/2025,"Join our team as a BI Analyst, where you'll use your skills in Computer Vision, Scikit-learn, Docker to solve real-world problems. Experience in Computer Vision, Scikit-learn, Docker is a plus."
44,ML Ops Engineer,SAP,"Bengaluru, IN",Senior,Contract,13827,"Docker, Excel, Deep Learning, Tableau",Remote,7/25/2025,"The ML Ops Engineer will drive innovation and support our data-driven strategies. Required skills include: Docker, Excel, Deep Learning."
45,ML Ops Engineer,Flipkart,"Texas, US",Expert,Part-time,216655,"Hadoop, Python, Spark, GCP, SQL",Onsite,6/28/2025,"We are looking for a ML Ops Engineer with strong experience in Python, Spark, SQL. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
46,BI Analyst,Uber,"Delhi, IN",Mid,Internship,10216,"PowerBI, AWS, Deep Learning",Hybrid,5/1/2025,"The BI Analyst will drive innovation and support our data-driven strategies. Required skills include: Deep Learning, PowerBI, AWS."
47,Data Analyst,Wipro,"Sydney, AU",Senior,Internship,147885,"NLP, Docker, Azure, PowerBI, Hadoop",Hybrid,6/29/2025,"The Data Analyst will drive innovation and support our data-driven strategies. Required skills include: Hadoop, PowerBI, Azure."
48,Data Scientist,OpenAI,"Toronto, CA",Entry,Part-time,47090,"TensorFlow, GCP, PowerBI, AWS, NLP",Remote,7/6/2025,"Join our team as a Data Scientist, where you'll use your skills in GCP, PowerBI, NLP to solve real-world problems. Experience in GCP, PowerBI, NLP is a plus."
49,NLP Engineer,Google,"Tokyo, JP",Mid,Contract,106264,"TensorFlow, Python, PowerBI, Kubernetes, Spark, AWS",Remote,6/15/2025,"We are looking for a NLP Engineer with strong experience in Kubernetes, Spark, TensorFlow. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
50,AI Research Scientist,Microsoft,"Berlin, DE",Expert,Full-time,255631,"PyTorch, Pandas, PowerBI",Remote,7/18/2025,"The AI Research Scientist will drive innovation and support our data-driven strategies. Required skills include: PyTorch, PowerBI, Pandas."
51,Data Analyst,Meta,"Delhi, IN",Expert,Part-time,23802,"Excel, Computer Vision, PowerBI, R, TensorFlow",Hybrid,7/2/2025,"We are looking for a Data Analyst with strong experience in PowerBI, TensorFlow, Computer Vision. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
52,Data Analyst,Infosys,"Sydney, AU",Entry,Part-time,45695,"Computer Vision, Docker, Kubernetes",Remote,6/21/2025,"As a Data Analyst, you will be responsible for building scalable solutions using Docker, Kubernetes, Computer Vision. We value creativity and a willingness to learn."
53,ML Engineer,TCS,"Berlin, DE",Senior,Internship,137337,"Computer Vision, TensorFlow, Hadoop, AWS",Remote,5/7/2025,"Seeking a passionate ML Engineer with hands-on experience in Hadoop, TensorFlow, AWS. Excellent opportunity to grow in a dynamic environment."
54,AI Research Scientist,Infosys,"Texas, US",Entry,Full-time,65972,"Docker, TensorFlow, Pandas, PowerBI, Deep Learning",Remote,6/24/2025,"Seeking a passionate AI Research Scientist with hands-on experience in PowerBI, Deep Learning, Pandas. Excellent opportunity to grow in a dynamic environment."
55,ML Ops Engineer,SAP,"New York, US",Entry,Internship,50561,"AWS, Excel, Python",Hybrid,5/3/2025,"Seeking a passionate ML Ops Engineer with hands-on experience in Python, AWS, Excel. Excellent opportunity to grow in a dynamic environment."
56,NLP Engineer,Hugging Face,"California, US",Mid,Internship,98981,"Kubernetes, SQL, Pandas, NLP, Computer Vision, Scikit-learn",Hybrid,6/17/2025,"As a NLP Engineer, you will be responsible for building scalable solutions using Kubernetes, NLP, Pandas. We value creativity and a willingness to learn."
57,Data Scientist,Netflix,"Toronto, CA",Expert,Internship,252102,"Docker, SQL, Tableau",Onsite,6/26/2025,"Seeking a passionate Data Scientist with hands-on experience in Tableau, Docker, SQL. Excellent opportunity to grow in a dynamic environment."
58,Computer Vision Engineer,Meta,Remote,Expert,Full-time,257581,"GCP, Spark, NLP",Hybrid,5/10/2025,"As a Computer Vision Engineer, you will be responsible for building scalable solutions using Spark, NLP, GCP. We value creativity and a willingness to learn."
59,ML Ops Engineer,SAP,Remote,Entry,Part-time,63795,"TensorFlow, Python, AWS, Scikit-learn, PowerBI, Azure",Onsite,7/27/2025,"As a ML Ops Engineer, you will be responsible for building scalable solutions using AWS, Python, PowerBI. We value creativity and a willingness to learn."
60,BI Analyst,Amazon,"London, UK",Entry,Internship,61224,"Computer Vision, Kubernetes, Excel, AWS, Docker",Remote,5/19/2025,"As a BI Analyst, you will be responsible for building scalable solutions using Excel, Kubernetes, AWS. We value creativity and a willingness to learn."
61,AI Research Scientist,Salesforce,"London, UK",Mid,Full-time,97193,"Python, PowerBI, Excel, Kubernetes, PyTorch",Onsite,6/1/2025,"Seeking a passionate AI Research Scientist with hands-on experience in Kubernetes, Excel, PowerBI. Excellent opportunity to grow in a dynamic environment."
62,ML Ops Engineer,Zoho,"Toronto, CA",Expert,Internship,211300,"AWS, Computer Vision, R, Tableau, Kubernetes, NLP",Onsite,6/10/2025,"Seeking a passionate ML Ops Engineer with hands-on experience in Tableau, Computer Vision, Kubernetes. Excellent opportunity to grow in a dynamic environment."
63,BI Analyst,Apple,"Mumbai, IN",Entry,Part-time,5933,"TensorFlow, Spark, Docker, Python, PyTorch, GCP",Hybrid,5/6/2025,"As a BI Analyst, you will be responsible for building scalable solutions using Spark, Docker, PyTorch. We value creativity and a willingness to learn."
64,AI Research Scientist,Amazon,"Mumbai, IN",Senior,Contract,16258,"Hadoop, Deep Learning, Tableau, Kubernetes, R",Hybrid,5/10/2025,"Join our team as a AI Research Scientist, where you'll use your skills in Kubernetes, Deep Learning, Hadoop to solve real-world problems. Experience in Kubernetes, Deep Learning, Hadoop is a plus."
65,Data Scientist,TCS,"Sydney, AU",Senior,Part-time,126451,"Scikit-learn, PowerBI, Python, R, Tableau, Deep Learning",Hybrid,7/21/2025,"As a Data Scientist, you will be responsible for building scalable solutions using Deep Learning, PowerBI, Tableau. We value creativity and a willingness to learn."
66,NLP Engineer,Zoho,"Toronto, CA",Expert,Part-time,203600,"Scikit-learn, SQL, Deep Learning, AWS",Remote,5/26/2025,"Seeking a passionate NLP Engineer with hands-on experience in Deep Learning, Scikit-learn, SQL. Excellent opportunity to grow in a dynamic environment."
67,AI Research Scientist,TCS,"Mumbai, IN",Senior,Internship,17891,"Hadoop, Scikit-learn, SQL, Docker, NLP",Onsite,5/14/2025,"As a AI Research Scientist, you will be responsible for building scalable solutions using Scikit-learn, Docker, NLP. We value creativity and a willingness to learn."
68,NLP Engineer,IBM,"Tokyo, JP",Senior,Internship,175924,"AWS, Deep Learning, NLP",Onsite,5/16/2025,"As a NLP Engineer, you will be responsible for building scalable solutions using NLP, Deep Learning, AWS. We value creativity and a willingness to learn."
69,NLP Engineer,Wipro,"California, US",Expert,Contract,186428,"PowerBI, AWS, NLP, Excel, GCP, Pandas",Remote,6/26/2025,"Join our team as a NLP Engineer, where you'll use your skills in NLP, GCP, PowerBI to solve real-world problems. Experience in NLP, GCP, PowerBI is a plus."
70,AI Research Scientist,Meta,"Sydney, AU",Entry,Contract,41093,"PowerBI, Tableau, Computer Vision",Onsite,7/6/2025,"As a AI Research Scientist, you will be responsible for building scalable solutions using PowerBI, Tableau, Computer Vision. We value creativity and a willingness to learn."
71,Data Analyst,Apple,Remote,Senior,Contract,190139,"TensorFlow, Docker, SQL, PyTorch, AWS",Remote,5/3/2025,"We are looking for a Data Analyst with strong experience in TensorFlow, Docker, PyTorch. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
72,BI Analyst,NVIDIA,"Toronto, CA",Entry,Internship,48665,"Azure, Excel, Deep Learning, NLP, TensorFlow",Remote,5/3/2025,"The BI Analyst will drive innovation and support our data-driven strategies. Required skills include: NLP, Deep Learning, TensorFlow."
73,Data Analyst,Uber,"California, US",Senior,Part-time,173992,"Computer Vision, TensorFlow, PyTorch, R, Spark",Hybrid,6/20/2025,"Seeking a passionate Data Analyst with hands-on experience in R, TensorFlow, Spark. Excellent opportunity to grow in a dynamic environment."
74,ML Ops Engineer,Meta,"New York, US",Mid,Part-time,94314,"Excel, PyTorch, Computer Vision, TensorFlow, Kubernetes, PowerBI",Onsite,6/6/2025,"We are looking for a ML Ops Engineer with strong experience in TensorFlow, PowerBI, Excel. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
75,NLP Engineer,Microsoft,"Tokyo, JP",Senior,Part-time,176062,"NLP, Hadoop, Pandas",Onsite,7/21/2025,"The NLP Engineer will drive innovation and support our data-driven strategies. Required skills include: Hadoop, Pandas, NLP."
76,BI Analyst,Infosys,"London, UK",Entry,Internship,61717,"R, Tableau, AWS",Remote,7/12/2025,"We are looking for a BI Analyst with strong experience in R, AWS, Tableau. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
77,Data Analyst,Amazon,Remote,Mid,Part-time,87637,"Azure, PyTorch, Excel",Remote,5/20/2025,"As a Data Analyst, you will be responsible for building scalable solutions using Azure, Excel, PyTorch. We value creativity and a willingness to learn."
78,NLP Engineer,Netflix,"New York, US",Entry,Part-time,51738,"Scikit-learn, Azure, R",Remote,7/12/2025,"As a NLP Engineer, you will be responsible for building scalable solutions using Scikit-learn, Azure, R. We value creativity and a willingness to learn."
79,BI Analyst,Adobe,"New York, US",Entry,Internship,65494,"Docker, Spark, AWS",Onsite,5/11/2025,"We are looking for a BI Analyst with strong experience in AWS, Spark, Docker. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
80,ML Engineer,Adobe,"Berlin, DE",Expert,Full-time,194150,"Docker, SQL, Excel, Tableau, PyTorch, R",Remote,7/12/2025,"We are looking for a ML Engineer with strong experience in R, PyTorch, Docker. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
81,NLP Engineer,LinkedIn,"Sydney, AU",Senior,Internship,149734,"TensorFlow, Pandas, Hadoop, GCP, Computer Vision, AWS",Hybrid,6/29/2025,"We are looking for a NLP Engineer with strong experience in TensorFlow, Hadoop, Computer Vision. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
82,BI Analyst,Flipkart,"Mumbai, IN",Expert,Internship,22096,"NLP, PyTorch, Kubernetes, SQL, Spark",Hybrid,7/18/2025,"As a BI Analyst, you will be responsible for building scalable solutions using SQL, PyTorch, NLP. We value creativity and a willingness to learn."
83,Data Scientist,IBM,"New York, US",Senior,Part-time,156804,"TensorFlow, Computer Vision, NLP, Excel, R",Hybrid,6/22/2025,"Join our team as a Data Scientist, where you'll use your skills in R, NLP, Excel to solve real-world problems. Experience in R, NLP, Excel is a plus."
84,NLP Engineer,Zoho,"New York, US",Mid,Part-time,84696,"Hadoop, NLP, TensorFlow, Azure, AWS",Hybrid,6/4/2025,"As a NLP Engineer, you will be responsible for building scalable solutions using NLP, AWS, Hadoop. We value creativity and a willingness to learn."
85,ML Engineer,LinkedIn,"Sydney, AU",Senior,Full-time,169965,"NLP, Python, Scikit-learn, PyTorch, Deep Learning",Remote,7/20/2025,"Seeking a passionate ML Engineer with hands-on experience in Deep Learning, Scikit-learn, NLP. Excellent opportunity to grow in a dynamic environment."
86,AI Research Scientist,Google,"New York, US",Mid,Internship,92340,"Tableau, Excel, SQL, R, PyTorch",Onsite,7/8/2025,"Join our team as a AI Research Scientist, where you'll use your skills in R, Excel, SQL to solve real-world problems. Experience in R, Excel, SQL is a plus."
87,ML Engineer,Amazon,"Berlin, DE",Expert,Internship,215804,"Spark, TensorFlow, NLP, Computer Vision",Onsite,7/14/2025,"Seeking a passionate ML Engineer with hands-on experience in Spark, Computer Vision, NLP. Excellent opportunity to grow in a dynamic environment."
88,NLP Engineer,Hugging Face,"Mumbai, IN",Senior,Full-time,12359,"PowerBI, GCP, PyTorch, Azure",Remote,6/21/2025,"Seeking a passionate NLP Engineer with hands-on experience in PyTorch, GCP, PowerBI. Excellent opportunity to grow in a dynamic environment."
89,Computer Vision Engineer,Meta,"California, US",Expert,Internship,210161,"SQL, Deep Learning, R, Computer Vision, Python",Remote,5/31/2025,"We are looking for a Computer Vision Engineer with strong experience in Deep Learning, Computer Vision, SQL. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
90,Data Scientist,Flipkart,"Singapore, SG",Expert,Internship,195096,"Python, Tableau, Scikit-learn, Docker, NLP, R",Hybrid,6/3/2025,"Join our team as a Data Scientist, where you'll use your skills in Docker, NLP, Tableau to solve real-world problems. Experience in Docker, NLP, Tableau is a plus."
91,Data Scientist,TCS,"Bengaluru, IN",Expert,Full-time,22450,"Tableau, Scikit-learn, SQL, Spark",Onsite,5/8/2025,"Join our team as a Data Scientist, where you'll use your skills in Scikit-learn, Spark, Tableau to solve real-world problems. Experience in Scikit-learn, Spark, Tableau is a plus."
92,Data Scientist,Adobe,"Delhi, IN",Mid,Contract,11229,"TensorFlow, PyTorch, Azure, GCP",Onsite,7/6/2025,"We are looking for a Data Scientist with strong experience in PyTorch, Azure, GCP. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
93,AI Research Scientist,Amazon,"Texas, US",Expert,Internship,253989,"Tableau, PyTorch, Docker, SQL, Kubernetes",Hybrid,6/2/2025,"The AI Research Scientist will drive innovation and support our data-driven strategies. Required skills include: Kubernetes, SQL, PyTorch."
94,NLP Engineer,Infosys,"Singapore, SG",Entry,Contract,42431,"R, NLP, PowerBI",Hybrid,7/19/2025,"Join our team as a NLP Engineer, where you'll use your skills in R, PowerBI, NLP to solve real-world problems. Experience in R, PowerBI, NLP is a plus."
95,Data Scientist,LinkedIn,"Singapore, SG",Expert,Internship,185376,"Excel, GCP, Tableau, Kubernetes, PyTorch, Python",Hybrid,6/1/2025,"The Data Scientist will drive innovation and support our data-driven strategies. Required skills include: Python, Kubernetes, PyTorch."
96,Data Scientist,Flipkart,"Tokyo, JP",Entry,Part-time,48118,"NLP, Pandas, PowerBI, Deep Learning",Remote,6/6/2025,"Join our team as a Data Scientist, where you'll use your skills in Deep Learning, PowerBI, Pandas to solve real-world problems. Experience in Deep Learning, PowerBI, Pandas is a plus."
97,Computer Vision Engineer,LinkedIn,"California, US",Senior,Full-time,164458,"Azure, PyTorch, Tableau, SQL, Excel",Onsite,6/14/2025,"We are looking for a Computer Vision Engineer with strong experience in Excel, Tableau, Azure. The candidate should be able to work on cutting-edge projects and collaborate with cross-functional teams."
98,NLP Engineer,Salesforce,"Texas, US",Entry,Contract,52343,"Spark, SQL, Computer Vision, Pandas",Hybrid,6/12/2025,"The NLP Engineer will drive innovation and support our data-driven strategies. Required skills include: Pandas, Computer Vision, SQL."
99,ML Engineer,Zoho,"Berlin, DE",Mid,Part-time,101868,"PyTorch, SQL, PowerBI, TensorFlow",Onsite,5/25/2025,"As a ML Engineer, you will be responsible for building scalable solutions using PyTorch, SQL, PowerBI. We value creativity and a willingness to learn."
100,ML Engineer,Flipkart,Remote,Mid,Internship,90036,"R, Computer Vision, NLP, AWS, Docker, PowerBI",Remote,6/22/2025,"The ML Engineer will drive innovation and support our data-driven strategies. Required skills include: Docker, Computer Vision, NLP."
101,ML Ops Engineer,TCS,"Delhi, IN",Mid,Contract,8271,"Docker, PowerBI, Deep Learning, Spark, Computer Vision, SQL",Onsite,7/3/2025,"Join our team as a ML Ops Engineer, where you'll use your skills in SQL, Docker, Spark to solve real-world problems. Experience in SQL, Docker, Spark is a plus."
102,AI Research Scientist,Infosys,"California, US",Expert,Contract,247621,"PowerBI, SQL, Scikit-learn",Hybrid,6/24/2025,"Join our team as a AI Research Scientist, where you'll use your skills in SQL, PowerBI, Scikit-learn to solve real-world problems. Experience in SQL, PowerBI, Scikit-learn is a plus."
103,ML Ops Engineer,Adobe,"Texas, US",Expert,Full-time,225820,"Computer Vision, R, Deep Learning",Remote,5/25/2025,"As a ML Ops Engineer, you will be responsible for building scalable solutions using R, Deep Learning, Computer Vision. We value creativity and a willingness to learn."
104,Computer Vision Engineer,TCS,"Bengaluru, IN",Entry,Contract,4092,"PyTorch, R, PowerBI, Kubernetes",Remote,4/30/2025,"Join our team as a Computer Vision Engineer, where you'll use your skills in PowerBI, PyTorch, R to solve real-world problems. Experience in PowerBI, PyTorch, R is a plus."
105,AI Research Scientist,Uber,"Mumbai, IN",Entry,Full-time,4838,"TensorFlow, PowerBI, AWS, Excel, Pandas, Python",Remote,6/28/2025,"Seeking a passionate AI Research Scientist with hands-on experience in Excel, TensorFlow, PowerBI. Excellent opportunity to grow in a dynamic environment."
